chromosome	length	length_cumsum
1	249698942	0
2	242508799	249698942
3	198450956	492207741
4	190424264	690658697
5	181630948	881082961
6	170805979	1062713909
7	159345973	1233519888
8	145138636	1392865861
9	138688728	1538004497
10	133797422	1676693225
11	135186938	1810490647
12	133275309	1945677585
13	114364328	2078952894
14	108136338	2193317222
15	102439437	2301453560
16	92211104	2403892997
17	83836422	2496104101
18	80373285	2579940523
19	58617616	2660313808
20	64444167	2718931424
21	46709983	2783375591
22	51857516	2830085574
X	156040895	2881943090
