chromosome	length-hg19	length_cumsum-hg19	length-hg38	length_cumsum-hg38
1	249250621	0	248956422	0
2	243199373	249250621	242193529	248956422
3	198022430	492449994	198295559	491149951
4	191154276	690472424	190214555	689445510
5	180915260	881626700	181538259	879660065
6	171115067	1062541960	170805979	1061198324
7	159138663	1233657027	159345973	1232004303
8	146364022	1392795690	145138636	1391350276
9	141213431	1539159712	138394717	1536488912
10	135534747	1680373143	133797422	1674883629
11	135006516	1815907890	135086622	1808681051
12	133851895	1950914406	133275309	1943767673
13	115169878	2084766301	114364328	2077042982
14	107349540	2199936179	107043718	2191407310
15	102531392	2307285719	101991189	2298451028
16	90354753	2409817111	90338345	2400442217
17	81195210	2500171864	83257441	2490780562
18	78077248	2581367074	80373285	2574038003
19	59128983	2659444322	58617616	2654411288
20	63025520	2718573305	64444167	2713028904
21	48129895	2781598825	46709983	2777473071
22	51304566	2829728720	50818468	2824183054
X	155270560	2881033286	156040895	2875001522
