Gene (symbol)	Ensembl gene ID	Ensembl Transcript ID (canonical)	RefSeq canonical transcript	Trancript ID exons not included
		Reporting is based on the ENST ID	Available if ENST can be directly mapped to NM ID	
ABCB1	ENSG00000085563	ENST00000622132	Not available	
ABL1	ENSG00000097007	ENST00000318560	Not available	
ACVR1	ENSG00000115170	ENST00000434821	Not available	
ACVR1B	ENSG00000135503	ENST00000257963	Not available	
ACVR2A	ENSG00000121989	ENST00000241416	Not available	
ADAM30	ENSG00000134249	ENST00000369400	Not available	
AFDN	ENSG00000130396	ENST00000683244	Not available	
AGBL4	ENSG00000186094	ENST00000371839	Not available	
AJUBA	ENSG00000129474	ENST00000262713	Not available	
AKT1	ENSG00000142208	ENST00000649815	Not available	
ALB	ENSG00000163631	ENST00000295897	Not available	
ALK	ENSG00000171094	ENST00000389048	NM_004304.4	
AMBRA1	ENSG00000110497	ENST00000683756	Not available	
AMER1	ENSG00000184675	ENST00000374869	Not available	
ANK1	ENSG00000184675	ENST00000289734	Not available	
ANKRD11	ENSG00000167522	ENST00000301030	NM_001256183.1	9
APC	ENSG00000134982	ENST00000257430	Not available	
AR	ENSG00000169083	ENST00000374690	NM_000044.3	
ARAF	ENSG00000078061	ENST00000377045	NM_001654.4	
ARHGAP35	ENSG00000160007	ENST00000672722	Not available	
ARID1A	ENSG00000117713	ENST00000324856	NM_006015.4	
ARID1B	ENSG00000049618	ENST00000636930	Not available	1
ARID2	ENSG00000189079	ENST00000334344	NM_152641.2	
ARID5B	ENSG00000150347	ENST00000279873	NM_032199.2	
ASXL1	ENSG00000171456	ENST00000375687	NM_015338.5	
ASXL2	ENSG00000143970	ENST00000435504	Not available	
ATG7	ENSG00000197548	ENST00000354449	Not available	
ATM	ENSG00000149311	ENST00000675843	Not available	
ATP1A1	ENSG00000163399	ENST00000295598	Not available	
ATP2B3	ENSG00000067842	ENST00000263519	Not available	
ATR	ENSG00000175054	ENST00000350721	NM_001184.3	
ATRX	ENSG00000085224	ENST00000373344	NM_000489.3	
AXIN1	ENSG00000103126	ENST00000262320	NM_003502.3	
AXIN2	ENSG00000168646	ENST00000307078	NM_004655.3	
AXL	ENSG00000167601	ENST00000301178	NM_021913.4	
B2M	ENSG00000166710	ENST00000648006	Not available	
BAP1	ENSG00000163930	ENST00000460680	NM_004656.3	
BARD1	ENSG00000138376	ENST00000260947	NM_000465.2	
BCL2	ENSG00000171791	ENST00000333681	Not available	
BCL9L	ENSG00000186174	ENST00000683865	Not available	
BCOR	ENSG00000183337	ENST00000378444	NM_001123385.1	
BIRC3	ENSG00000023445	ENST00000263464	NM_001165.4	
BMPR1A	ENSG00000107779	ENST00000372037	NM_004329.2	
BMPR2	ENSG00000204217	ENST00000374580	Not available	
BRAF	ENSG00000157764	ENST00000644969	Not available	
BRCA1	ENSG00000012048	ENST00000357654	Not available	
BRCA2	ENSG00000139618	ENST00000380152	Not available	
BRD7	ENSG00000166164	ENST00000394688	Not available	
BRIP1	ENSG00000136492	ENST00000259008	NM_032043.2	
BTK	ENSG00000010671	ENST00000308731	NM_000061.2	
C21orf91	ENSG00000154642	ENST00000284881	Not available	
CACNA1D	ENSG00000157388	ENST00000350061	Not available	
CALR	ENSG00000179218	ENST00000316448	NM_004343.3	
CARD11	ENSG00000198286	ENST00000396946	NM_032415.4	
CASP8	ENSG00000064012	ENST00000673742	Not available	
CASZ1	ENSG00000130940	ENST00000377022	Not available	21
CBFB	ENSG00000067955	ENST00000412916	Not available	
CBL	ENSG00000110395	ENST00000264033	NM_005188.3	
CBLB	ENSG00000114423	ENST00000394030	Not available	
CCND1	ENSG00000110092	ENST00000227507	NM_053056.2	
CCND2	ENSG00000118971	ENST00000261254	NM_001759.3	
CCND3	ENSG00000112576	ENST00000372991	NM_001760.3	
CCNE1	ENSG00000105173	ENST00000262643	NM_001238.2	2
CCSER1	ENSG00000184305	ENST00000509176	Not available	
CD274	ENSG00000120217	ENST00000381577	NM_014143.3	
CD44	ENSG00000026508	ENST00000428726	Not available	
CD58	ENSG00000116815	ENST00000369489	Not available	
CD79A	ENSG00000105369	ENST00000221972	NM_021601.3	
CD79B	ENSG00000007312	ENST00000006750	Not available	
CDC73	ENSG00000134371	ENST00000367435	NM_024529.4	
CDH1	ENSG00000039068	ENST00000261769	NM_004360.3	
CDH10	ENSG00000040731	ENST00000264463	Not available	
CDK12	ENSG00000167258	ENST00000447079	NM_015083.1	
